epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7552,1.35236,2.30915,1.48682,0.48135,0.41299,0.38857,0.21311,1.46831,2.278,1.73182,0.000473498,0.000473498,0.000473498
2,108.227,1.4189,1.99693,1.55312,0.42226,0.38944,0.36433,0.19051,1.70596,2.77211,1.91046,0.000940428,0.000940428,0.000940428
3,158.679,1.46234,1.96064,1.59661,0.56786,0.38312,0.39877,0.22866,1.67309,2.62713,1.91293,0.00139793,0.00139793,0.00139793
4,210.187,1.44044,1.86379,1.60734,0.55368,0.39994,0.43737,0.24644,1.58491,2.35028,1.8398,0.00138656,0.00138656,0.00138656
5,260.071,1.41576,1.73443,1.55841,0.55947,0.38025,0.42151,0.23991,1.56199,2.34674,1.84605,0.00137241,0.00137241,0.00137241
6,310.159,1.4017,1.69046,1.55066,0.66448,0.49005,0.5562,0.33615,1.51827,1.87242,1.8074,0.00135826,0.00135826,0.00135826
7,359.685,1.37552,1.62533,1.52759,0.64678,0.51781,0.57354,0.3497,1.4629,1.83013,1.69709,0.00134412,0.00134412,0.00134412
8,410.698,1.33605,1.56548,1.5018,0.67389,0.54113,0.59386,0.37227,1.42532,1.66866,1.66297,0.00132997,0.00132997,0.00132997
9,460.782,1.31193,1.49475,1.47988,0.66862,0.51128,0.56946,0.3456,1.37196,1.85927,1.62627,0.00131582,0.00131582,0.00131582
10,510.555,1.30123,1.47466,1.47224,0.61859,0.49767,0.56317,0.34027,1.47533,1.90348,1.71122,0.00130168,0.00130168,0.00130168
11,560.597,1.29532,1.46378,1.47582,0.6628,0.53649,0.59121,0.34425,1.50779,1.85709,1.79214,0.00128753,0.00128753,0.00128753
12,611.157,1.26493,1.41382,1.45704,0.74797,0.54129,0.63853,0.41317,1.3395,1.59072,1.61004,0.00127338,0.00127338,0.00127338
13,661.289,1.26105,1.37504,1.44356,0.72875,0.56854,0.66302,0.42127,1.37521,1.57242,1.62293,0.00125923,0.00125923,0.00125923
14,711.105,1.24176,1.34747,1.43731,0.74543,0.56399,0.65371,0.41444,1.37619,1.5424,1.62171,0.00124509,0.00124509,0.00124509
15,760.513,1.23602,1.31693,1.43401,0.72314,0.57183,0.65473,0.42229,1.35475,1.54895,1.59617,0.00123094,0.00123094,0.00123094
16,811.041,1.2342,1.31209,1.42928,0.73546,0.58823,0.66147,0.43392,1.27852,1.52883,1.5428,0.00121679,0.00121679,0.00121679
17,861.084,1.21759,1.27082,1.41518,0.76739,0.57371,0.67734,0.44213,1.31982,1.47477,1.58258,0.00120265,0.00120265,0.00120265
18,910.888,1.20336,1.25121,1.40643,0.77655,0.54363,0.66643,0.42697,1.32805,1.49759,1.58841,0.0011885,0.0011885,0.0011885
